20260818 20:50:15 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:15 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:15 |INFO| 
找到主窗口:
20260818 20:50:15 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:15 |INFO|   尺寸: 1924x1140
20260818 20:50:15 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:15 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:15 |INFO| 匹配质量不足: 0.439
20260818 20:50:15 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:50:17 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:17 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:17 |INFO| 
找到主窗口:
20260818 20:50:17 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:17 |INFO|   尺寸: 1924x1140
20260818 20:50:17 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:17 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:17 |INFO| 匹配点不足: 0/10
20260818 20:50:17 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:50:18 |INFO| 所有方法都未能匹配成功
20260818 20:50:18 |INFO| 图片匹配失败
20260818 20:50:19 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:19 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:19 |INFO| 
找到主窗口:
20260818 20:50:19 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:19 |INFO|   尺寸: 1924x1140
20260818 20:50:19 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:19 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:19 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:19 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:19 |INFO| 
找到主窗口:
20260818 20:50:19 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:19 |INFO|   尺寸: 1924x1140
20260818 20:50:19 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:19 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:20 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:20 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:20 |INFO| 
找到主窗口:
20260818 20:50:20 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:20 |INFO|   尺寸: 1924x1140
20260818 20:50:20 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:20 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:21 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:21 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:21 |INFO| 
找到主窗口:
20260818 20:50:21 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:21 |INFO|   尺寸: 1924x1140
20260818 20:50:21 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:21 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:21 |INFO| 匹配点不足: 6/10
20260818 20:50:21 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:50:22 |INFO| 检测到可领取的任务奖励
20260818 20:50:22 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:22 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:22 |INFO| 
找到主窗口:
20260818 20:50:22 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:22 |INFO|   尺寸: 1924x1140
20260818 20:50:22 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:22 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:22 |INFO| 匹配点不足: 7/10
20260818 20:50:22 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:50:24 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:24 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:24 |INFO| 
找到主窗口:
20260818 20:50:24 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:24 |INFO|   尺寸: 1924x1140
20260818 20:50:24 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:24 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:24 |INFO| 匹配点不足: 2/10
20260818 20:50:24 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:50:25 |INFO| 所有方法都未能匹配成功
20260818 20:50:25 |INFO| 图片匹配失败
20260818 20:50:26 |INFO| 执行任务出错，任务结束
20260823 14:50:03 |INFO| 无法获取游戏窗口
20260823 14:50:03 |INFO| 无法获取游戏窗口
20260823 14:50:04 |INFO| 无法获取游戏窗口
